Date,Ter_N,Sp_N,Sp,Time,T_lizard,T_sub,T_air,Delta_Time,Time_initial,N_group,N_total,Sub_type,N_ser,Group,Season
NA,A,1555.0,D.armeniaca,1899-12-31 17:55:00,27.1,22.8,22.5,5,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 17:56:00,25.6,23,22.4,6,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 17:56:00,26.1,23,22.4,6,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 17:57:00,25.3,23.4,22.6,7,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 17:57:00,25.8,23.3,22.6,7,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 17:58:00,24.4,22.8,22.4,8,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 17:58:00,25,22.8,22.4,8,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 17:59:00,24.1,22.7,22.6,9,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 17:59:00,24.5,22.8,22.6,9,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:00:00,24.1,23,22.4,10,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:00:00,24.5,23,22.4,10,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:01:00,23.6,22.7,22.3,11,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:01:00,23.9,22.7,22.3,11,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:02:00,23.5,22.7,22.3,12,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:02:00,23.9,22.8,22.3,12,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:03:00,23.3,22.7,22.4,13,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:03:00,23.6,22.7,22.4,13,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:04:00,23.2,22.6,22.4,14,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:04:00,23.5,22.6,22.4,14,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:05:00,23.1,22.7,22.4,15,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:05:00,23.3,22.7,22.4,15,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:06:00,22.8,22.3,22.4,16,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:06:00,22.9,22.3,22.4,16,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:07:00,22.7,22.3,22.2,17,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:07:00,22.8,22.3,22.2,17,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:08:00,22.7,22.4,22.3,18,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:08:00,22.9,22.4,22.3,18,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:09:00,22.7,22.4,22.5,19,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:09:00,22.8,22.4,22.5,19,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:10:00,22.5,22.2,22.3,20,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:10:00,22.5,22.2,22.3,20,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:11:00,22.3,22,22.3,21,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:11:00,22.3,22,22.3,21,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:12:00,22.6,22.4,22.2,22,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:12:00,22.6,22.4,22.2,22,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:13:00,22.5,22.3,22.1,23,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:13:00,22.6,22.3,22.1,23,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:14:00,22.2,22,22.3,24,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:14:00,22.2,22,22.3,24,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,154.0,D.armeniaca,1899-12-31 18:15:00,22.3,22.1,22.1,25,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 18:15:00,22.3,22.1,22.1,25,1899-12-31 17:50:00,2,9,gravel,NA,T,spring
44661.0,A,1555.0,D.armeniaca,1899-12-31 14:03:00,29.9,18.7,20.3,1,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:03:00,26.9,18.7,20.3,1,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:03:00,28.1,18.7,20.3,1,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:03:00,23.6,18.7,20.3,1,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:05:00,28.1,18.7,20.7,3,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:05:00,26.6,18.7,20.7,3,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:05:00,23.3,18.7,20.7,3,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:06:00,26.2,18.3,20.1,4,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:06:00,24.3,18.3,20.1,4,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:06:00,24,18.3,20.1,4,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:06:00,21.9,18.3,20.1,4,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:08:00,25.4,18.4,20,6,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:08:00,24.6,18.4,20,6,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:08:00,24.2,18.4,20,6,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:08:00,22,18.4,20,6,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:09:00,24.5,18.5,20,7,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:09:00,23.8,18.5,20,7,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:09:00,23.1,18.5,20,7,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:09:00,21.4,18.5,20,7,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:10:00,24.3,18.9,19.9,8,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:10:00,23.6,18.9,19.9,8,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:10:00,23.2,18.9,19.9,8,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:10:00,21.3,18.9,19.9,8,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:10:00,21.7,19.4,20.2,8,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:11:00,23.8,19,20.2,9,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:11:00,23,19,20.2,9,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:11:00,22.7,19,20.2,9,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:11:00,21.3,19,20.2,9,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:11:00,21.2,18.7,20.2,9,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:12:00,23.4,18.5,19.9,10,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:12:00,22.6,18.5,19.9,10,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:12:00,22.1,18.5,19.9,10,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:12:00,21.1,18.5,19.9,10,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:12:00,20.8,18.7,19.9,10,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:13:00,23,18.1,20,11,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:13:00,22.2,18.1,20,11,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:13:00,21.6,18.1,20,11,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:13:00,20.4,18.1,20,11,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:13:00,20.3,18.1,20,11,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:14:00,22.9,18.5,20,12,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:14:00,22.1,18.5,20,12,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:14:00,20.6,18.5,20,12,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:14:00,20.3,18.4,20,12,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:15:00,22.5,18.7,20,13,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:15:00,21.8,18.7,20,13,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:15:00,21.4,18.7,20,13,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:15:00,20.8,18.7,20,13,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:15:00,20.3,18.7,20,13,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:16:00,22.4,19,20,14,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:16:00,21.8,19,20,14,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:16:00,21.6,19,20,14,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:16:00,20.7,19,20,14,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:16:00,20.3,18.8,20,14,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:17:00,21.9,18.7,19.9,15,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:17:00,21.3,18.7,19.9,15,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:17:00,21.2,18.7,19.9,15,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:17:00,20.1,18.7,19.9,15,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:17:00,20,18.6,19.9,15,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:18:00,21.7,18.5,20.2,16,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:18:00,21.2,18.5,20.2,16,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:18:00,21,18.5,20.2,16,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:18:00,20.2,18.5,20.2,16,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:18:00,19.8,18.4,20.2,16,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:19:00,21.2,18.2,20,17,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:19:00,20.6,18.2,20,17,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:19:00,20.6,18.2,20,17,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:19:00,19.9,18.2,20,17,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:19:00,19.4,18.4,20,17,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:20:00,21.1,18.5,20,18,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:20:00,20.7,18.5,20,18,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:20:00,20.6,18.5,20,18,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:20:00,19.9,18.5,20,18,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:20:00,19.6,18.6,20,18,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:21:00,20.7,18.6,19.8,19,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:21:00,20.3,18.6,19.8,19,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:21:00,20.3,18.6,19.8,19,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:21:00,19.6,18.6,19.8,19,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:21:00,19.4,18.5,19.8,19,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:22:00,20.5,18.5,20,20,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:22:00,20.2,18.5,20,20,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:22:00,20,18.5,20,20,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:22:00,19.6,18.5,20,20,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:22:00,19.2,18.5,20,20,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:23:00,20.4,18.6,19.9,21,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:23:00,20.1,18.6,19.9,21,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:23:00,20,18.6,19.9,21,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:23:00,19.7,18.6,19.9,21,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:23:00,19.3,18.6,19.9,21,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:24:00,20.2,18.5,19.8,22,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:24:00,19.9,18.5,19.8,22,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:24:00,20,18.5,19.8,22,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:24:00,19.4,18.5,19.8,22,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:24:00,19.1,18.5,19.8,22,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:25:00,19.8,18.2,19.9,23,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:25:00,19.5,18.2,19.9,23,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:25:00,19.5,18.2,19.9,23,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:25:00,19.1,18.2,19.9,23,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:25:00,18.9,18.3,19.9,23,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:26:00,19.9,18.3,19.8,24,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:26:00,19.7,18.3,19.8,24,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:26:00,19.5,18.3,19.8,24,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:26:00,19.2,18.3,19.8,24,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:26:00,18.8,18.3,19.8,24,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:27:00,19.8,18.4,20,25,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:27:00,19.6,18.4,20,25,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:27:00,19.5,18.4,20,25,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:27:00,19.2,18.4,20,25,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:27:00,18.9,18.4,20,25,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:28:00,19.5,18.1,19.8,26,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:28:00,19.2,18.1,19.8,26,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:28:00,18.6,18.1,19.8,26,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:29:00,19.4,18,19.7,27,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:29:00,19.1,18,19.7,27,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:29:00,18.5,18,19.7,27,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:30:00,19.4,17.6,19.8,28,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:30:00,19.2,17.6,19.8,28,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:30:00,19.2,17.6,19.8,28,1899-12-31 14:02:00,4,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:30:00,18.3,17.6,19.8,28,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:31:00,18.9,17.7,19.8,29,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:31:00,18.6,17.7,19.8,29,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:31:00,18.3,17.7,19.8,29,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:31:00,18.6,17.7,19.8,29,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:31:00,18,17.6,19.8,29,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:32:00,19.3,18,19.8,30,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:32:00,19.2,18,19.8,30,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:32:00,19.1,18,19.8,30,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:32:00,18.4,17.8,19.8,30,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:32:00,18.5,18.1,19.8,30,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:33:00,19.6,18.4,19.8,31,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:33:00,19.3,18.4,19.8,31,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:33:00,19.3,18.4,19.8,31,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:33:00,18.5,18.1,19.8,31,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:33:00,18.8,18.4,19.8,31,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:35:00,19.2,18,19.7,33,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:35:00,19,18,19.7,33,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:35:00,19,18,19.7,33,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:35:00,18.2,17.8,19.7,33,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:35:00,18,18,19.7,33,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:36:00,19.2,17.9,19.7,34,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:36:00,18.8,17.9,19.7,34,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:36:00,18.9,17.9,19.7,34,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:36:00,18,17.8,19.7,34,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:36:00,18.3,17.9,19.7,34,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:37:00,19.1,17.9,19.6,35,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,531.0,D.armeniaca,1899-12-31 14:37:00,18.8,17.9,19.6,35,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:37:00,18.8,17.9,19.6,35,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
NA,A,455.0,D.armeniaca,1899-12-31 14:37:00,18,17.7,19.6,35,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,2231.0,D.armeniaca,1899-12-31 14:37:00,18.3,17.8,19.6,35,1899-12-31 14:02:00,1,9,gravel,xv,F,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:39:00,18.8,18.3,19.7,37,1899-12-31 14:02:00,2,9,gravel,xv,T,spring
NA,A,1555.0,D.armeniaca,1899-12-31 14:39:00,18.9,18.3,19.7,37,1899-12-31 14:02:00,2,9,gravel,xv,T,spring
NA,A,125.0,D.armeniaca,1899-12-31 14:40:00,18.7,18.2,19.7,38,1899-12-31 14:02:00,3,9,gravel,xv,T,spring
